llm,game,dev_ne,level_k_avg,run,success_rate,dev_ne_avg,mean_contrib,prop_costly,miss_prop,term_round,prop_sim_opt,accept_rate,srs
<3P26cpI>,battle_royale,,,3.0,,,,,0.2632748538011696,19.4,,,0.03157894736842106
<3P26cpI>,diner_dilemma,-0.893,,3.0,,,,0.10700000000000001,,,,,0.1070000000000001
<3P26cpI>,divide_dollar,,,3.0,0.9,0.85,,,,,,,0.9914999999999999
<3P26cpI>,guessing_game,5.715999999999999,7.15,3.0,,,,,,,,,0.94284
<3P26cpI>,pirate_game,,,3.0,,,,,,2.2,0.6,0.7066666666666667,0.9368421052631579
<3P26cpI>,public_goods,,,3.0,,1.8189999999999997,1.8189999999999997,,,,,,0.90905
<HzpuDbC>,battle_royale,,,3.0,,,,,0.05428571428571429,16.6,,,0.17894736842105263
<HzpuDbC>,diner_dilemma,-0.519,,3.0,,,,0.48100000000000004,,,,,0.481
<HzpuDbC>,divide_dollar,,,3.0,0.6,1.6629999999999998,,,,,,,0.9833700000000001
<HzpuDbC>,guessing_game,15.959999999999999,3.9,3.0,,,,,,,,,0.8404
<HzpuDbC>,pirate_game,,,3.0,,,,,,3.4,0.2942063492063492,0.44523809523809527,0.8736842105263157
<HzpuDbC>,public_goods,,,3.0,,1.8849999999999998,1.8849999999999998,,,,,,0.90575
<JLI84K7>,battle_royale,,,3.0,,,,,0.02,18.2,,,0.09473684210526316
<JLI84K7>,diner_dilemma,-0.97,,3.0,,,,0.03,,,,,0.030000000000000138
<JLI84K7>,divide_dollar,,,3.0,0.8,3.8590000000000004,,,,,,,0.9614100000000001
<JLI84K7>,guessing_game,22.747,2.5100000000000002,3.0,,,,,,,,,0.77253
<JLI84K7>,pirate_game,,,3.0,,,,,,1.4,0.2554040404040404,0.8,0.9789473684210528
<JLI84K7>,public_goods,,,3.0,,6.292,6.292,,,,,,0.6854
<RfelEFA>,battle_royale,,,3.0,,,,,0.37,20.0,,,0.0
<RfelEFA>,diner_dilemma,-0.20099999999999998,,3.0,,,,0.799,,,,,0.799
<RfelEFA>,divide_dollar,,,3.0,0.9800000000000001,2.378,,,,,,,0.97622
<RfelEFA>,guessing_game,16.45,3.13,3.0,,,,,,,,,0.8355
<RfelEFA>,pirate_game,,,3.0,,,,,,4.2,0.4588571428571429,0.49714285714285716,0.8315789473684211
<RfelEFA>,public_goods,,,3.0,,3.257,3.257,,,,,,0.83715
<X9x73kd>,battle_royale,,,3.0,,,,,0.04111111111111111,19.2,,,0.04210526315789476
<X9x73kd>,diner_dilemma,-0.8560000000000001,,3.0,,,,0.14400000000000004,,,,,0.14399999999999993
<X9x73kd>,divide_dollar,,,3.0,0.85,0.9419999999999998,,,,,,,0.9905799999999999
<X9x73kd>,guessing_game,5.695,10.61,3.0,,,,,,,,,0.94305
<X9x73kd>,pirate_game,,,3.0,,,,,,3.0,0.30666666666666664,0.5619047619047619,0.8947368421052632
<X9x73kd>,public_goods,,,3.0,,0.61,0.61,,,,,,0.9695
<Z3cCMo0>,battle_royale,,,3.0,,,,,0.026666666666666665,15.6,,,0.23157894736842105
<Z3cCMo0>,diner_dilemma,-0.986,,3.0,,,,0.014000000000000002,,,,,0.014000000000000058
<Z3cCMo0>,divide_dollar,,,3.0,0.62,3.4520000000000004,,,,,,,0.96548
<Z3cCMo0>,guessing_game,31.476999999999997,1.35,3.0,,,,,,,,,0.68523
<Z3cCMo0>,pirate_game,,,3.0,,,,,,2.0,0.425,0.5,0.9473684210526316
<Z3cCMo0>,public_goods,,,3.0,,11.303999999999998,11.303999999999998,,,,,,0.43479999999999996
<gvHK3Q2>,battle_royale,,,3.0,,,,,0.038995726495726496,15.6,,,0.23157894736842105
<gvHK3Q2>,diner_dilemma,-0.33399999999999996,,3.0,,,,0.666,,,,,0.666
<gvHK3Q2>,divide_dollar,,,3.0,0.18,7.508,,,,,,,0.92492
<gvHK3Q2>,guessing_game,58.575,0.0,3.0,,,,,,,,,0.41425
<gvHK3Q2>,pirate_game,,,3.0,,,,,,2.4,0.24166666666666664,0.4333333333333333,0.9263157894736842
<gvHK3Q2>,public_goods,,,3.0,,16.451,16.451,,,,,,0.17744999999999997
<jHLiFlg>,battle_royale,,,3.0,,,,,0.06673546611627107,17.8,,,0.11578947368421055
<jHLiFlg>,diner_dilemma,-0.40700000000000003,,3.0,,,,0.5930000000000001,,,,,0.593
<jHLiFlg>,divide_dollar,,,3.0,0.32999999999999996,6.897,,,,,,,0.93103
<jHLiFlg>,guessing_game,14.547,4.0600000000000005,3.0,,,,,,,,,0.8545300000000001
<jHLiFlg>,pirate_game,,,3.0,,,,,,4.0,0.25255555555555553,0.2633333333333333,0.8421052631578947
<jHLiFlg>,public_goods,,,3.0,,16.088,16.088,,,,,,0.19560000000000002
<my9FQ38>,battle_royale,,,3.0,,,,,0.13857142857142857,18.8,,,0.06315789473684211
<my9FQ38>,diner_dilemma,-0.6409999999999999,,3.0,,,,0.359,,,,,0.3590000000000001
<my9FQ38>,divide_dollar,,,3.0,0.65,0.65,,,,,,,0.9935
<my9FQ38>,guessing_game,4.587999999999999,10.84,3.0,,,,,,,,,0.95412
<my9FQ38>,pirate_game,,,3.0,,,,,,3.6,0.5,0.30666666666666664,0.8631578947368421
<my9FQ38>,public_goods,,,3.0,,0.0,0.0,,,,,,1.0
<pKbLE9I>,battle_royale,,,3.0,,,,,0.01,19.8,,,0.010526315789473694
<pKbLE9I>,diner_dilemma,-1.0,,3.0,,,,0.0,,,,,0.0
<pKbLE9I>,divide_dollar,,,3.0,0.75,1.1389999999999998,,,,,,,0.9886100000000001
<pKbLE9I>,guessing_game,6.819,6.82,3.0,,,,,,,,,0.9318099999999999
<pKbLE9I>,pirate_game,,,3.0,,,,,,1.6,0.48,0.7666666666666666,0.968421052631579
<pKbLE9I>,public_goods,,,3.0,,3.739,3.739,,,,,,0.8130499999999999
<qqOBXB0>,battle_royale,,,3.0,,,,,0.10035714285714285,17.4,,,0.1368421052631579
<qqOBXB0>,diner_dilemma,-0.991,,3.0,,,,0.009,,,,,0.009000000000000008
<qqOBXB0>,divide_dollar,,,3.0,0.96,0.20400000000000001,,,,,,,0.99796
<qqOBXB0>,guessing_game,8.402,6.26,3.0,,,,,,,,,0.91598
<qqOBXB0>,pirate_game,,,3.0,,,,,,1.4,0.65,0.8,0.9789473684210528
<qqOBXB0>,public_goods,,,3.0,,2.162,2.162,,,,,,0.8919
<xoEciVX>,battle_royale,,,3.0,,,,,0.17445887445887448,14.8,,,0.2736842105263158
<xoEciVX>,diner_dilemma,-0.668,,3.0,,,,0.332,,,,,0.33199999999999996
<xoEciVX>,divide_dollar,,,3.0,0.02,13.469,,,,,,,0.86531
<xoEciVX>,guessing_game,8.219,7.31,3.0,,,,,,,,,0.91781
<xoEciVX>,pirate_game,,,3.0,,,,,,3.8,0.24066666666666667,0.38666666666666666,0.8526315789473685
<xoEciVX>,public_goods,,,3.0,,14.470000000000002,14.470000000000002,,,,,,0.27649999999999997
